src_ip,dst_ip,protocol_type,src_port,dst_port,frame_length,timestamp,duration,src_bytes,dst_bytes,service,flag,land,wrong_fragment,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,urgent,class
10.117.77.120,10.117.77.115,tcp,2498.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2499.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2502.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2503.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2504.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2505.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2508.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2509.0,80.0,60,2024-06-05 18:22:14.492044032,0.02089,134040.0,134040.0,http,S0,0,0,473,473,6.319238900634249,6.319238900634249,0.0,0.0,6.319238900634249,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2514.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2515.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
