ip.src,ip.dst,ip.proto,ip.checksum,tcp.srcport,tcp.dstport,tcp.flags,frame.len,frame.time_epoch
"10.117.77.120","10.117.77.115","6","0xae64","3706","80","0x0002","60","1717611734.501918000"
"10.117.77.120","10.117.77.115","6","0x3377","3707","80","0x0002","60","1717611734.501918000"
"10.117.77.119","10.117.77.115","6","0x9834","2230","80","0x0002","60","1717611734.501918000"
"10.117.77.119","10.117.77.115","6","0x6732","2231","80","0x0002","60","1717611734.501918000"
"10.117.77.120","10.117.77.115","6","0xda88","3727","80","0x0002","60","1717611734.501918000"
"10.117.77.119","10.117.77.115","6","0x83c9","2232","80","0x0002","60","1717611734.501918000"
"10.117.77.120","10.117.77.115","6","0x7803","3710","80","0x0002","60","1717611734.501918000"
"10.117.77.119","10.117.77.115","6","0x2964","2233","80","0x0002","60","1717611734.501918000"
"10.117.77.120","10.117.77.115","6","0x47d4","3711","80","0x0002","60","1717611734.501918000"
"10.117.77.120","10.117.77.115","6","0x3a64","3712","80","0x0002","60","1717611734.501918000"
"10.117.77.120","10.117.77.115","6","0x4f1c","3713","80","0x0002","60","1717611734.501918000"
"10.117.77.119","10.117.77.115","6","0xcd50","2236","80","0x0002","60","1717611734.501918000"
"10.117.77.119","10.117.77.115","6","0xa765","2237","80","0x0002","60","1717611734.501918000"
"10.117.77.120","10.117.77.115","6","0xd303","3716","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0x005a","3717","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xe931","2240","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xfa12","2241","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x5453","2244","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xbd5e","2245","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0x0bf1","3753","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xbb20","3722","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xd19c","3723","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x741b","2250","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xfb78","3726","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x282e","2251","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0x1124","3728","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0x36e1","3729","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x92af","2254","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xe3a7","2255","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0x4b77","3732","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xeed2","2256","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xf35c","3733","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x93a0","2257","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x2404","2260","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x3f12","2261","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0x1d99","3738","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xfba0","3739","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0x3040","3742","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xe1e2","2266","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xe2de","3743","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x52f3","2267","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xda37","3746","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x2b76","2270","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xb260","3747","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xb31c","2271","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xfec2","3750","80","0x0002","60","1717611734.502296000"
